id, gid,price,comment,intro,shop, listimga1, listimga2, listimga3, listimga4, listimga5, listimga6,listimgb1,listimgb2,listimgb3,listimgb4,listimgb5,listimgb6,detailimgb1,detailimgb2,detailimgb3,detailimgb4,detailimgb5,detailimgb6,detailimgs1,detailimgs2,detailimgs3,detailimgs4,detailimgs5,detailimgs6
25,25,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.11英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
26,26,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有97%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
27,27,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸15",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
28,28,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.7",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
29,29,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.12英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
30,30,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有98%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
31,31,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸16",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
32,32,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.8",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
33,33,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.13英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
34,34,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有99%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
35,35,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸17",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
36,36,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.9",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
37,37,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.14英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
38,38,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有100%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
39,39,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸18",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
40,40,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.10",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
41,41,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.15英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
42,42,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有101%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
43,43,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸19",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
44,44,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.11",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
45,45,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.16英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
46,46,1899.00 ,0,"荣耀（honor）荣耀8X (JSN-AL00)全网通6GB+128GB梦幻紫

拥有102%屏占比，破界无边的开阔视",自营荣耀官方旗舰店,../img/l2a-tu1.jpg,../img/l2a-tu2.jpg,../img/l2a-tu3.jpg,../img/l2a-tu4.jpg,../img/l2a-tu5.jpg,,../img/l2b-tu1.jpg,../img/l2b-tu2.jpg,../img/l2b-tu3.jpg,../img/l2b-tu4.jpg,../img/l2b-tu5.jpg,,../img/d2b-tu1.jpg,../img/d2b-tu2.jpg,../img/d2b-tu3.jpg,../img/d2b-tu4.jpg,../img/d2b-tu5.jpg,,../img/d2s-tu1.jpg,../img/d2s-tu2.jpg,../img/d2s-tu3.jpg,../img/d2s-tu4.jpg,../img/d2s-tu5.jpg,
47,47,1299.00 ,0,"荣耀（honor）荣耀10青春版 标配版 4GB+64GB 全网通版 幻夜黑

幻彩渐变，2400万AI自拍，6.21英寸20",自营荣耀官方旗舰店,../img/l3a-tu1.jpg,../img/l3a-tu2.jpg,../img/l3a-tu3.jpg,../img/l3a-tu4.jpg,,,../img/l3b-tu1.jpg,../img/l3b-tu2.jpg,../img/l3b-tu3.jpg,../img/l3b-tu4.jpg,../img/l3b-tu5.jpg,,../img/d3b-tu1.jpg,../img/d3b-tu2.jpg,../img/d3b-tu3.jpg,../img/d3b-tu4.jpg,../img/d3b-tu5.jpg,../img/d3b-tu6.jpg,../img/d3s-tu1.jpg,../img/d3s-tu2.jpg,../img/d3s-tu3.jpg,../img/d3s-tu4.jpg,../img/d3s-tu5.jpg,../img/d3s-tu6.jpg
48,48,5388.00 ,0,"Apple iPhone XR 128G 珊瑚色 移动联通电信4G手机

“哪一面都是亮点”iPhone XR配备6.12",国美Apple产品专营点,../img/l4a-tu1.jpg,../img/l4a-tu2.jpg,../img/l4a-tu3.jpg,../img/l4a-tu4.jpg,../img/l4a-tu5.jpg,../img/l4a-tu6.jpg,../img/l4b-tu1.jpg,../img/l4b-tu2.jpg,../img/l4b-tu3.jpg,../img/l4b-tu4.jpg,../img/l4b-tu5.jpg,../img/l4b-tu6.jpg,../img/d4b-tu1.jpg,../img/d4b-tu2.jpg,../img/d4b-tu3.jpg,../img/d4b-tu4.jpg,../img/d4b-tu5.jpg,,../img/d4s-tu1.jpg,../img/d4s-tu2.jpg,../img/d4s-tu3.jpg,../img/d4s-tu4.jpg,../img/d4s-tu5.jpg,
49,49,8788.00 ,0,"Apple iPhone XS Max 256G 银色 移动联通电信4G手机

iPhone XS Max配备6.17英寸显示屏，",国美Apple产品专营店,../img/l1a-tu1.jpg,../img/l1a-tu2.jpg,../img/l1a-tu3.jpg,../img/l1a-tu4.jpg,../img/l1a-tu5.jpg,,../imgl1b-tu1.jpg,../imgl1b-tu2.jpg,../imgl1b-tu3.jpg,../imgl1b-tu4.jpg,../imgl1b-tu5.jpg,,../img/d1b-tu1.jpg,../img/d1b-tu2.jpg,../img/d1b-tu3.jpg,../img/d1b-tu4.jpg,../img/d1b-tu5.jpg,,../img/d1s-tu1.jpg,../img/d1s-tu2.jpg,..img/d1s-tu3.jpg,../img/d1s-tu4.jpg,../img/d1s-tu5.jpg,
